,Experiment,Temp,p(A),p(B),p(C),Obs.,Model,Priming,Scenario
1,2_7,0.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,3
2,2_7,1.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,3
3,2_7,1.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,3
4,2_7,2.0,0.00%,2.08%,97.92%,48,GPT-4-1106-Preview,1,3
0,1_4,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,4
1,1_4,0.5,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,4
2,1_4,1.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,4
3,1_4,1.5,10.00%,0.00%,90.00%,50,GPT-3.5-Turbo,0,4
4,1_4,2.0,10.42%,0.00%,89.58%,48,GPT-3.5-Turbo,0,4
0,2_4,0.0,100.00%,0.00%,0.00%,50,GPT-4-1106-Preview,0,4
1,2_4,0.5,98.00%,0.00%,2.00%,50,GPT-4-1106-Preview,0,4
2,2_4,1.0,76.00%,0.00%,24.00%,50,GPT-4-1106-Preview,0,4
3,2_4,1.5,68.00%,0.00%,32.00%,50,GPT-4-1106-Preview,0,4
4,2_4,2.0,60.00%,0.00%,40.00%,40,GPT-4-1106-Preview,0,4
0,1_8,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,1,4
1,1_8,0.5,34.00%,0.00%,66.00%,50,GPT-3.5-Turbo,1,4
2,1_8,1.0,36.00%,0.00%,64.00%,50,GPT-3.5-Turbo,1,4
3,1_8,1.5,46.00%,0.00%,54.00%,50,GPT-3.5-Turbo,1,4
4,1_8,2.0,36.17%,0.00%,63.83%,47,GPT-3.5-Turbo,1,4
0,2_8,0.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,4
1,2_8,0.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,4
2,2_8,1.0,2.00%,0.00%,98.00%,50,GPT-4-1106-Preview,1,4
3,2_8,1.5,2.00%,0.00%,98.00%,50,GPT-4-1106-Preview,1,4
4,2_8,2.0,11.90%,0.00%,88.10%,42,GPT-4-1106-Preview,1,4
