,Experiment,Temp,p(A),p(B),p(C),Obs.,Model,Priming,Scenario
3,1_2,1.5,50.0,12.0,38.0,50,GPT-3.5-Turbo,0,2
4,1_2,2.0,34.78,26.09,39.13,46,GPT-3.5-Turbo,0,2
0,2_2,0.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,2
1,2_2,0.5,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,2
2,2_2,1.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,2
3,2_2,1.5,0.0,2.0,98.0,50,GPT-4-1106-Preview,0,2
4,2_2,2.0,4.08,0.0,95.92,49,GPT-4-1106-Preview,0,2
0,1_6,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,1,2
1,1_6,0.5,84.0,0.0,16.0,50,GPT-3.5-Turbo,1,2
2,1_6,1.0,56.0,8.0,36.0,50,GPT-3.5-Turbo,1,2
3,1_6,1.5,50.0,10.0,40.0,50,GPT-3.5-Turbo,1,2
4,1_6,2.0,36.36,22.73,40.91,44,GPT-3.5-Turbo,1,2
0,2_6,0.0,98.0,0.0,2.0,50,GPT-4-1106-Preview,1,2
1,2_6,0.5,96.0,0.0,4.0,50,GPT-4-1106-Preview,1,2
2,2_6,1.0,88.0,0.0,12.0,50,GPT-4-1106-Preview,1,2
3,2_6,1.5,84.0,2.0,14.0,50,GPT-4-1106-Preview,1,2
4,2_6,2.0,75.51,0.0,24.49,49,GPT-4-1106-Preview,1,2
0,1_3,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,0,3
1,1_3,0.5,98.0,0.0,2.0,50,GPT-3.5-Turbo,0,3
2,1_3,1.0,78.0,8.0,14.0,50,GPT-3.5-Turbo,0,3
3,1_3,1.5,68.0,14.0,18.0,50,GPT-3.5-Turbo,0,3
4,1_3,2.0,65.91,9.09,25.0,44,GPT-3.5-Turbo,0,3
0,2_3,0.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,3
1,2_3,0.5,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,3
2,2_3,1.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,3
3,2_3,1.5,2.04,0.0,97.96,49,GPT-4-1106-Preview,0,3
4,2_3,2.0,0.0,6.38,93.62,47,GPT-4-1106-Preview,0,3
0,1_7,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,1,3
1,1_7,0.5,62.0,0.0,38.0,50,GPT-3.5-Turbo,1,3
2,1_7,1.0,56.0,2.0,42.0,50,GPT-3.5-Turbo,1,3
3,1_7,1.5,43.75,10.42,45.83,48,GPT-3.5-Turbo,1,3
4,1_7,2.0,44.68,14.89,40.43,47,GPT-3.5-Turbo,1,3
0,2_7,0.0,30.0,0.0,70.0,50,GPT-4-1106-Preview,1,3
1,2_7,0.5,54.0,0.0,46.0,50,GPT-4-1106-Preview,1,3
2,2_7,1.0,44.0,0.0,56.0,50,GPT-4-1106-Preview,1,3
3,2_7,1.5,46.94,2.04,51.02,49,GPT-4-1106-Preview,1,3
4,2_7,2.0,38.0,10.0,52.0,50,GPT-4-1106-Preview,1,3
0,1_4,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,0,4
1,1_4,0.5,96.0,2.0,2.0,50,GPT-3.5-Turbo,0,4
2,1_4,1.0,98.0,2.0,0.0,50,GPT-3.5-Turbo,0,4
3,1_4,1.5,72.0,12.0,16.0,50,GPT-3.5-Turbo,0,4
4,1_4,2.0,68.09,19.15,12.77,47,GPT-3.5-Turbo,0,4
0,2_4,0.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,4
1,2_4,0.5,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,4
2,2_4,1.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,4
3,2_4,1.5,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,4
4,2_4,2.0,0.0,0.0,100.0,49,GPT-4-1106-Preview,0,4
0,1_8,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,1,4
1,1_8,0.5,88.0,2.0,10.0,50,GPT-3.5-Turbo,1,4
2,1_8,1.0,72.0,2.0,26.0,50,GPT-3.5-Turbo,1,4
3,1_8,1.5,68.0,14.0,18.0,50,GPT-3.5-Turbo,1,4
4,1_8,2.0,57.14,16.67,26.19,42,GPT-3.5-Turbo,1,4
0,2_8,0.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,1,4
1,2_8,0.5,2.0,0.0,98.0,50,GPT-4-1106-Preview,1,4
2,2_8,1.0,8.0,0.0,92.0,50,GPT-4-1106-Preview,1,4
3,2_8,1.5,16.0,2.0,82.0,50,GPT-4-1106-Preview,1,4
4,2_8,2.0,23.4,8.51,68.09,47,GPT-4-1106-Preview,1,4
