Prospect Theory;;;;;;;
TU3_1_1_2_1_1;gpt-3.5-turbo;15.71;15.71;15.71;5;;
TU3_1_1_2_1_2;gpt-3.5-turbo;15.71;15.71;15.71;6;;
TU3_1_1_2_2_1;gpt-3.5-turbo;15.71;15.71;31.42;7;;
TU3_1_1_2_2_2;gpt-3.5-turbo;15.71;15.71;31.42;8;;
TU3_1_1_3_1_1;gpt-3.5-turbo;15.71;31.42;15.71;9;;
TU3_1_1_3_1_2;gpt-3.5-turbo;15.71;31.42;15.71;10;;
TU3_1_1_3_2_1;gpt-3.5-turbo;15.71;31.42;31.42;11;;
TU3_1_1_3_2_2;gpt-3.5-turbo;15.71;31.42;31.42;12;;
TU3_1_2_1_1_1;gpt-3.5-turbo;50;0;50;13;;
TU3_1_2_1_1_2;gpt-3.5-turbo;50;0;50;14;;
TU3_1_2_1_2_1;gpt-3.5-turbo;50;0;100;15;;
TU3_1_2_1_2_2;gpt-3.5-turbo;50;0;100;16;;
TU3_1_2_2_1_1;gpt-3.5-turbo;50;50;50;17;;
TU3_1_2_2_1_2;gpt-3.5-turbo;50;50;50;18;;
TU3_1_2_2_2_1;gpt-3.5-turbo;50;50;100;19;;
TU3_1_2_2_2_2;gpt-3.5-turbo;50;50;100;20;;
TU3_1_2_3_1_1;gpt-3.5-turbo;50;100;50;21;;
TU3_1_2_3_1_2;gpt-3.5-turbo;50;100;50;22;;
TU3_1_2_3_2_1;gpt-3.5-turbo;50;100;100;23;;
TU3_1_2_3_2_2;gpt-3.5-turbo;50;100;100;24;;
TU3_2_1_1_1_1;gpt-4-1106-preview;15.71;0;15.71;1;;
TU3_2_1_1_1_2;gpt-4-1106-preview;15.71;0;15.71;2;;
TU3_2_1_1_2_1;gpt-4-1106-preview;15.71;0;31.42;3;;
TU3_2_1_1_2_2;gpt-4-1106-preview;15.71;0;31.42;4;;
TU3_2_1_2_1_1;gpt-4-1106-preview;15.71;15.71;15.71;5;;
TU3_2_1_2_1_2;gpt-4-1106-preview;15.71;15.71;15.71;6;;
TU3_2_1_2_2_1;gpt-4-1106-preview;15.71;15.71;31.42;7;;
TU3_2_1_2_2_2;gpt-4-1106-preview;15.71;15.71;31.42;8;;
TU3_2_1_3_1_1;gpt-4-1106-preview;15.71;31.42;15.71;9;;
TU3_2_1_3_1_2;gpt-4-1106-preview;15.71;31.42;15.71;10;;
TU3_2_1_3_2_1;gpt-4-1106-preview;15.71;31.42;31.42;11;;
TU3_2_1_3_2_2;gpt-4-1106-preview;15.71;31.42;31.42;12;;
TU3_2_2_1_1_1;gpt-4-1106-preview;50;0;50;13;;
TU3_2_2_1_1_2;gpt-4-1106-preview;50;0;50;14;;
TU3_2_2_1_2_1;gpt-4-1106-preview;50;0;100;15;;
TU3_2_2_1_2_2;gpt-4-1106-preview;50;0;100;16;;
TU3_2_2_2_1_1;gpt-4-1106-preview;50;50;50;17;;
TU3_2_2_2_1_2;gpt-4-1106-preview;50;50;50;18;;
TU3_2_2_2_2_1;gpt-4-1106-preview;50;50;100;19;;
TU3_2_2_2_2_2;gpt-4-1106-preview;50;50;100;20;;
TU3_2_2_3_1_1;gpt-4-1106-preview;50;100;50;21;;
TU3_2_2_3_1_2;gpt-4-1106-preview;50;100;50;22;;
TU3_2_2_3_2_1;gpt-4-1106-preview;50;100;100;23;;
TU3_2_2_3_2_2;gpt-4-1106-preview;50;100;100;24;;
TU3_3_1_1_1_1;llama-2-70b;15.71;0;15.71;1;;
TU3_3_1_1_1_2;llama-2-70b;15.71;0;15.71;2;;
TU3_3_1_1_2_1;llama-2-70b;15.71;0;31.42;3;;
TU3_3_1_1_2_2;llama-2-70b;15.71;0;31.42;4;;
TU3_3_1_2_1_1;llama-2-70b;15.71;15.71;15.71;5;;
