Experiment_id,Temp,A,B,C,Obs.,Model,Scenario,Priming,Reorder,Original,Original_count
DE_3_3,2.0,2.08,8.33,89.58,48,llama-2-70b,1,1,0,"[16, 0, 84]",100
DE_3_4,0.01,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,0.5,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,1.0,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,1.5,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,2.0,13.64,0.0,86.36,44,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_5,0.01,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_5,0.5,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_5,1.0,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_5,1.5,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_5,2.0,0.0,0.0,100.0,40,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_6,0.01,100.0,0.0,0.0,50,llama-2-70b,2,0,1,"[68, 0, 32]",100
DE_3_6,0.5,100.0,0.0,0.0,50,llama-2-70b,2,0,1,"[68, 0, 32]",100
DE_3_6,1.0,100.0,0.0,0.0,50,llama-2-70b,2,0,1,"[68, 0, 32]",100
DE_3_6,1.5,100.0,0.0,0.0,47,llama-2-70b,2,0,1,"[68, 0, 32]",100
DE_3_6,2.0,94.87,0.0,5.13,39,llama-2-70b,2,0,1,"[68, 0, 32]",100
DE_3_7,0.01,0.0,0.0,100.0,50,llama-2-70b,1,1,1,"[16, 0, 84]",100
DE_3_7,0.5,0.0,0.0,100.0,50,llama-2-70b,1,1,1,"[16, 0, 84]",100
DE_3_7,1.0,0.0,0.0,100.0,50,llama-2-70b,1,1,1,"[16, 0, 84]",100
DE_3_7,1.5,12.2,0.0,87.8,41,llama-2-70b,1,1,1,"[16, 0, 84]",100
DE_3_7,2.0,48.39,0.0,51.61,31,llama-2-70b,1,1,1,"[16, 0, 84]",100
DE_3_8,0.01,100.0,0.0,0.0,50,llama-2-70b,2,1,1,"[68, 0, 32]",100
DE_3_8,0.5,100.0,0.0,0.0,50,llama-2-70b,2,1,1,"[68, 0, 32]",100
DE_3_8,1.0,100.0,0.0,0.0,50,llama-2-70b,2,1,1,"[68, 0, 32]",100
DE_3_8,1.5,84.44,0.0,15.56,45,llama-2-70b,2,1,1,"[68, 0, 32]",100
DE_3_8,2.0,78.38,0.0,21.62,37,llama-2-70b,2,1,1,"[68, 0, 32]",100
